index,dataset,expID,base_model,meta_model,preproc_model,results_dir_path,model_time,postproc_time,preproc_time
ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=854160400_hash=cc41d788_2023.09.10-16.09,ACSPublicCoverage,NN,NN,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=854160400_hash=cc41d788_2023.09.10-16.09.16,3508.079,8.352,
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=324955336_hash=4c2503ab_2023.09.09-14.21,ACSPublicCoverage,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=324955336_hash=4c2503ab_2023.09.09-14.21.48,36.957,6.994,
ACSPublicCoverage_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=185057634_hash=34fd9659_2023.09.09-16.05,ACSPublicCoverage,"RF, EG",RF,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=185057634_hash=34fd9659_2023.09.09-16.05.43,20030.047,101.115,
ACSPublicCoverage_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=161250210_hash=b8f4b6be_2023.09.09-10.53,ACSPublicCoverage,"LR, GS",LR,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=161250210_hash=b8f4b6be_2023.09.09-10.53.33,407.598,0.394,
ACSPublicCoverage_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=724658405_hash=7984d598_2023.09.09-15.10,ACSPublicCoverage,"GBM, GS",GBM,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=724658405_hash=7984d598_2023.09.09-15.10.25,1245.634,2.017,
ACSPublicCoverage_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=901091292_hash=473ddcc7_2023.09.09-11.31,ACSPublicCoverage,"NN, EG",NN,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=901091292_hash=473ddcc7_2023.09.09-11.31.36,14517.853,23.642,
ACSPublicCoverage_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=475216779_hash=fc2d2573_2023.09.08-03.37,ACSPublicCoverage,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=475216779_hash=fc2d2573_2023.09.08-03.37.46,1622.481,0.835,
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=277254313_hash=df518791_2023.09.10-06.43,ACSPublicCoverage,"GBM, CR",GBM,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=277254313_hash=df518791_2023.09.10-06.43.04,32.984,0.65,1.588
ACSPublicCoverage_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=815943217_hash=533bcb3c_2023.09.09-08.46,ACSPublicCoverage,"GBM, EG",GBM,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=815943217_hash=533bcb3c_2023.09.09-08.46.17,552.168,5.778,
ACSPublicCoverage_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=874139844_hash=533bcb3c_2023.09.08-02.46,ACSPublicCoverage,"GBM, EG",GBM,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=4_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=874139844_hash=533bcb3c_2023.09.08-02.46.09,15370.237,213.319,
